Voltage U1;Corriente IA
0,02;0,39
0,04;0,39
0,07;0,33
0,09;0,35
0,12;0,31
0,14;0,3
0,17;0,25
0,19;0,26
0,21;0,22
0,24;0,27
0,26;0,22
0,29;0,23
0,31;0,19
0,34;0,22
0,36;0,23
0,39;0,24
0,41;0,2
0,43;0,21
0,46;0,22
0,48;0,22
0,51;0,23
0,53;0,2
0,56;0,21
0,58;0,19
0,61;0,2
0,63;0,16
0,65;0,22
0,68;0,22
0,7;0,27
0,73;0,25
0,75;0,27
0,78;0,23
0,8;0,3
0,83;0,28
0,85;0,32
0,87;0,25
0,9;0,29
0,92;0,25
0,95;0,32
0,97;0,28
1;0,29
1,02;0,22
1,05;0,27
1,07;0,21
1,09;0,26
1,12;0,2
1,14;0,22
1,17;0,18
1,19;0,23
1,22;0,18
1,24;0,27
1,26;0,22
1,29;0,27
1,31;0,24
1,34;0,3
1,36;0,26
1,39;0,31
1,41;0,23
1,44;0,3
1,46;0,26
1,48;0,31
1,51;0,23
1,53;0,28
1,56;0,24
1,58;0,28
1,61;0,23
1,63;0,28
1,66;0,23
1,68;0,29
1,7;0,23
1,73;0,26
1,75;0,27
1,78;0,3
1,8;0,26
1,83;0,28
1,85;0,22
1,88;0,25
1,9;0,27
1,92;0,26
1,95;0,23
1,97;0,24
2;0,23
2,02;0,24
2,05;0,26
2,07;0,23
2,1;0,25
2,12;0,27
2,14;0,25
2,17;0,27
2,19;0,3
2,22;0,28
2,24;0,32
2,27;0,26
2,29;0,27
2,31;0,26
2,34;0,27
2,36;0,27
2,39;0,29
2,41;0,22
2,44;0,26
2,46;0,23
2,49;0,29
2,51;0,23
2,53;0,26
2,56;0,2
2,58;0,25
2,61;0,2
2,63;0,27
2,66;0,22
2,68;0,29
2,71;0,23
2,73;0,29
2,75;0,24
2,78;0,32
2,8;0,24
2,83;0,3
2,85;0,23
2,88;0,29
2,9;0,26
2,93;0,32
2,95;0,25
2,97;0,34
3;0,27
3,02;0,35
3,05;0,27
3,07;0,33
3,1;0,27
3,12;0,32
3,15;0,24
3,17;0,3
3,19;0,24
3,22;0,28
3,24;0,2
3,27;0,25
3,29;0,21
3,32;0,28
3,34;0,24
3,36;0,27
3,39;0,23
3,41;0,26
3,44;0,23
3,46;0,25
3,49;0,23
3,51;0,24
3,54;0,2
3,56;0,23
3,58;0,24
3,61;0,27
3,63;0,3
3,66;0,27
3,68;0,27
3,71;0,27
3,73;0,28
3,76;0,31
3,78;0,32
3,8;0,27
3,83;0,29
3,85;0,26
3,88;0,29
3,9;0,27
3,93;0,29
3,95;0,23
3,98;0,25
4;0,22
4,02;0,31
4,05;0,26
4,07;0,3
4,1;0,24
4,12;0,28
4,15;0,24
4,17;0,32
4,2;0,23
4,22;0,31
4,24;0,24
4,27;0,32
4,29;0,28
4,32;0,34
4,34;0,26
4,37;0,36
4,39;0,27
4,42;0,36
4,44;0,27
4,46;0,35
4,49;0,3
4,51;0,38
4,54;0,28
4,56;0,37
4,59;0,28
4,61;0,34
4,63;0,26
4,66;0,32
4,68;0,24
4,71;0,31
4,73;0,26
4,76;0,34
4,78;0,28
4,81;0,32
4,83;0,28
4,85;0,38
4,88;0,32
4,9;0,37
4,93;0,29
4,95;0,36
4,98;0,36
5;0,39
5,03;0,33
5,05;0,37
5,07;0,3
5,1;0,38
5,12;0,35
5,15;0,38
5,17;0,36
5,2;0,37
5,22;0,36
5,25;0,39
5,27;0,37
5,29;0,39
5,32;0,36
5,34;0,36
5,37;0,36
5,39;0,34
5,42;0,37
5,44;0,36
5,47;0,38
5,49;0,37
5,51;0,37
5,54;0,33
5,56;0,43
5,59;0,41
5,61;0,44
5,64;0,41
5,66;0,47
5,68;0,44
5,71;0,55
5,73;0,47
5,76;0,54
5,78;0,48
5,81;0,55
5,83;0,51
5,86;0,6
5,88;0,54
5,9;0,6
5,93;0,51
5,95;0,62
5,98;0,53
6;0,6
6,03;0,54
6,05;0,58
6,08;0,5
6,1;0,6
6,12;0,51
6,15;0,63
6,17;0,54
6,2;0,6
6,22;0,56
6,25;0,66
6,27;0,58
6,3;0,68
6,32;0,59
6,34;0,68
6,37;0,64
6,39;0,72
6,42;0,68
6,44;0,76
6,47;0,69
6,49;0,78
6,52;0,74
6,54;0,82
6,56;0,79
6,59;0,84
6,61;0,8
6,64;0,84
6,66;0,82
6,69;0,89
6,71;0,85
6,73;0,86
6,76;0,85
6,78;0,87
6,81;0,87
6,83;0,9
6,86;0,89
6,88;0,91
6,91;0,9
6,93;0,9
6,95;0,95
6,98;0,97
7;0,98
7,03;1
7,05;1,02
7,08;1,01
7,1;1,08
7,13;1,07
7,15;1,09
7,17;1,06
7,2;1,04
7,22;1,01
7,25;1,1
7,27;1,08
7,3;1,15
7,32;1,09
7,35;1,17
7,37;1,16
7,39;1,25
7,42;1,21
7,44;1,27
7,47;1,18
7,49;1,28
7,52;1,19
7,54;1,27
7,57;1,2
7,59;1,25
7,61;1,18
7,64;1,26
7,66;1,19
7,69;1,3
7,71;1,23
7,74;1,31
7,76;1,25
7,78;1,33
7,81;1,26
7,83;1,34
7,86;1,28
7,88;1,36
7,91;1,29
7,93;1,38
7,96;1,32
7,98;1,39
8;1,31
8,03;1,37
8,05;1,34
8,08;1,43
8,1;1,37
8,13;1,42
8,15;1,4
8,18;1,44
8,2;1,4
8,22;1,46
8,25;1,4
8,27;1,42
8,3;1,38
8,32;1,38
8,35;1,38
8,37;1,4
8,4;1,36
8,42;1,39
8,44;1,38
8,47;1,4
8,49;1,45
8,52;1,46
8,54;1,48
8,57;1,48
8,59;1,46
8,62;1,45
8,64;1,47
8,66;1,43
8,69;1,47
8,71;1,41
8,74;1,4
8,76;1,38
8,79;1,42
8,81;1,41
8,84;1,47
8,86;1,41
8,88;1,48
8,91;1,46
8,93;1,52
8,96;1,48
8,98;1,48
9,01;1,37
9,03;1,43
9,05;1,35
9,08;1,44
9,1;1,36
9,13;1,41
9,15;1,39
9,18;1,46
9,2;1,39
9,23;1,53
9,25;1,43
9,27;1,52
9,3;1,46
9,32;1,53
9,35;1,5
9,37;1,58
9,4;1,47
9,42;1,56
9,45;1,48
9,47;1,55
9,49;1,48
9,52;1,55
9,54;1,47
9,57;1,53
9,59;1,46
9,62;1,56
9,64;1,51
9,67;1,55
9,69;1,47
9,71;1,52
9,74;1,48
9,76;1,55
9,79;1,5
9,81;1,53
9,84;1,48
9,86;1,54
9,89;1,52
9,91;1,57
9,93;1,53
9,96;1,56
9,98;1,52
10,01;1,57
10,03;1,58
10,06;1,64
10,08;1,64
10,1;1,65
10,13;1,62
10,15;1,67
10,18;1,69
10,2;1,71
10,23;1,73
10,25;1,73
10,28;1,76
10,3;1,79
10,32;1,84
10,35;1,86
10,37;1,89
10,4;1,85
10,42;1,86
10,45;1,79
10,47;1,86
10,5;1,8
10,52;1,85
10,54;1,81
10,57;1,86
10,59;1,86
10,62;2
10,64;1,95
10,67;2,04
10,69;1,96
10,72;2,03
10,74;2,01
10,76;2,11
10,79;2,03
10,81;2,14
10,84;2,08
10,86;2,22
10,89;2,23
10,91;2,32
10,94;2,26
10,96;2,4
10,98;2,36
11,01;2,48
11,03;2,44
11,06;2,53
11,08;2,52
11,11;2,65
11,13;2,6
11,15;2,69
11,18;2,66
11,2;2,75
11,23;2,72
11,25;2,79
11,28;2,74
11,3;2,85
11,33;2,86
11,35;2,95
11,37;2,92
11,4;3,01
11,42;3,04
11,45;3,15
11,47;3,16
11,5;3,22
11,52;3,21
11,55;3,3
11,57;3,33
11,59;3,39
11,62;3,42
11,64;3,47
11,67;3,51
11,69;3,61
11,72;3,66
11,74;3,75
11,77;3,81
11,79;3,85
11,81;3,93
11,84;3,96
11,86;4
11,89;4,04
11,91;4,07
11,94;4,07
11,96;4,14
11,99;4,16
12,01;4,3
12,03;4,32
12,06;4,42
12,08;4,43
12,11;4,52
12,13;4,51
12,16;4,61
12,18;4,55
12,21;4,63
12,23;4,58
12,25;4,65
12,28;4,61
12,3;4,71
12,33;4,62
12,35;4,73
12,38;4,66
12,4;4,75
12,42;4,69
12,45;4,8
12,47;4,72
12,5;4,82
12,52;4,72
12,55;4,84
12,57;4,75
12,6;4,82
12,62;4,74
12,64;4,82
12,67;4,73
12,69;4,83
12,72;4,73
12,74;4,8
12,77;4,7
12,79;4,75
12,82;4,66
12,84;4,71
12,86;4,63
12,89;4,66
12,91;4,57
12,94;4,64
12,96;4,58
12,99;4,63
13,01;4,59
13,04;4,59
13,06;4,5
13,08;4,52
13,11;4,46
13,13;4,48
13,16;4,42
13,18;4,38
13,21;4,35
13,23;4,37
13,26;4,34
13,28;4,36
13,3;4,32
13,33;4,26
13,35;4,24
13,38;4,2
13,4;4,17
13,43;4,13
13,45;4,08
13,47;4,03
13,5;4,01
13,52;3,95
13,55;3,96
13,57;3,91
13,6;3,93
13,62;3,87
13,65;3,85
13,67;3,78
13,69;3,84
13,72;3,8
13,74;3,83
13,77;3,73
13,79;3,75
13,82;3,7
13,84;3,79
13,87;3,7
13,89;3,73
13,91;3,63
13,94;3,72
13,96;3,64
13,99;3,72
14,01;3,61
14,04;3,67
14,06;3,57
14,09;3,65
14,11;3,54
14,13;3,62
14,16;3,52
14,18;3,59
14,21;3,5
14,23;3,56
14,26;3,48
14,28;3,55
14,31;3,46
14,33;3,55
14,35;3,48
14,38;3,55
14,4;3,5
14,43;3,57
14,45;3,51
14,48;3,58
14,5;3,52
14,52;3,59
14,55;3,58
14,57;3,65
14,6;3,58
14,62;3,64
14,65;3,64
14,67;3,73
14,7;3,72
14,72;3,76
14,74;3,73
14,77;3,81
14,79;3,83
14,82;3,89
14,84;3,87
14,87;3,92
14,89;3,92
14,92;3,98
14,94;4,01
14,96;4,03
14,99;4,04
15,01;4,08
15,04;4,1
15,06;4,12
15,09;4,18
15,11;4,22
15,14;4,29
15,16;4,35
15,18;4,41
15,21;4,44
15,23;4,58
15,26;4,62
15,28;4,72
15,31;4,72
15,33;4,81
15,36;4,83
15,38;4,95
15,4;4,97
15,43;5,1
15,45;5,07
15,48;5,21
15,5;5,22
15,53;5,36
15,55;5,39
15,57;5,52
15,6;5,5
15,62;5,67
15,65;5,68
15,67;5,86
15,7;5,84
15,72;5,95
15,75;5,95
15,77;6,12
15,79;6,12
15,82;6,31
15,84;6,31
15,87;6,52
15,89;6,57
15,92;6,75
15,94;6,77
15,97;6,97
15,99;7,01
16,01;7,18
16,04;7,21
16,06;7,39
16,09;7,43
16,11;7,59
16,14;7,65
16,16;7,8
16,19;7,88
16,21;8,08
16,23;8,15
16,26;8,3
16,28;8,39
16,31;8,55
16,33;8,66
16,36;8,82
16,38;8,87
16,41;8,99
16,43;9,09
16,45;9,22
16,48;9,34
16,5;9,48
16,53;9,58
16,55;9,76
16,58;9,89
16,6;10,05
16,63;10,22
16,65;10,34
16,67;10,51
16,7;10,64
16,72;10,73
16,75;10,87
16,77;11,02
16,8;11,12
16,82;11,26
16,84;11,3
16,87;11,44
16,89;11,55
16,92;11,71
16,94;11,82
16,97;11,98
16,99;12
17,02;12,17
17,04;12,21
17,06;12,35
17,09;12,34
17,11;12,43
17,14;12,38
17,16;12,49
17,19;12,44
17,21;12,57
17,24;12,52
17,26;12,61
17,28;12,55
17,31;12,64
17,33;12,57
17,36;12,68
17,38;12,54
17,41;12,55
17,43;12,46
17,46;12,5
17,48;12,4
17,5;12,47
17,53;12,31
17,55;12,36
17,58;12,27
17,6;12,29
17,63;12,14
17,65;12,13
17,68;11,97
17,7;11,96
17,72;11,79
17,75;11,8
17,77;11,65
17,8;11,62
17,82;11,43
17,85;11,39
17,87;11,26
17,89;11,23
17,92;11,03
17,94;10,93
17,97;10,78
17,99;10,71
18,02;10,55
18,04;10,46
18,07;10,3
18,09;10,2
18,11;10,05
18,14;9,97
18,16;9,87
18,19;9,78
18,21;9,71
18,24;9,55
18,26;9,43
18,29;9,3
18,31;9,19
18,33;9,07
18,36;8,99
18,38;8,79
18,41;8,73
18,43;8,59
18,46;8,54
18,48;8,44
18,51;8,38
18,53;8,19
18,55;8,15
18,58;7,99
18,6;7,99
18,63;7,83
18,65;7,77
18,68;7,6
18,7;7,59
18,73;7,45
18,75;7,48
18,77;7,32
18,8;7,34
18,82;7,19
18,85;7,2
18,87;7,09
18,9;7,15
18,92;7,02
18,94;7,11
18,97;6,98
18,99;7,03
19,02;6,94
19,04;6,97
19,07;6,87
19,09;6,93
19,12;6,78
19,14;6,87
19,16;6,76
19,19;6,83
19,21;6,77
19,24;6,84
19,26;6,75
19,29;6,84
19,31;6,79
19,34;6,89
19,36;6,81
19,38;6,89
19,41;6,9
19,43;7,02
19,46;7,01
19,48;7,09
19,51;7,07
19,53;7,16
19,56;7,19
19,58;7,25
19,6;7,26
19,63;7,34
19,65;7,35
19,68;7,47
19,7;7,54
19,73;7,63
19,75;7,7
19,78;7,77
19,8;7,83
19,82;7,95
19,85;8,01
19,87;8,09
19,9;8,15
19,92;8,22
19,95;8,32
19,97;8,39
19,99;8,53
20,02;8,66
20,04;8,77
20,07;8,91
20,09;9,04
20,12;9,12
20,14;9,35
20,17;9,45
20,19;9,57
20,21;9,67
20,24;9,81
20,26;9,89
20,29;10,11
20,31;10,15
20,34;10,34
20,36;10,42
20,39;10,64
20,41;10,76
20,43;11
20,46;11,08
20,48;11,33
20,51;11,4
20,53;11,65
20,56;11,7
20,58;11,9
20,61;11,98
20,63;12,18
20,65;12,24
20,68;12,51
20,7;12,62
20,73;12,9
20,75;13,03
20,78;13,27
20,8;13,47
20,83;13,76
20,85;13,88
20,87;14,19
20,9;14,29
20,92;14,54
20,95;14,71
20,97;14,95
21;15,1
21,02;15,35
21,05;15,44
21,07;15,75
21,09;15,96
21,12;16,25
21,14;16,46
21,17;16,71
21,19;16,92
21,22;17,22
21,24;17,41
21,26;17,7
21,29;17,89
21,31;18,11
21,34;18,35
21,36;18,59
21,39;18,8
21,41;19,08
21,44;19,31
21,46;19,6
21,48;19,87
21,51;20,13
21,53;20,44
21,56;20,71
21,58;20,96
21,61;21,2
21,63;21,42
21,66;21,63
21,68;21,9
21,7;22,12
21,73;22,4
21,75;22,62
21,78;22,87
21,8;23,08
21,83;23,34
21,85;23,52
21,88;23,78
21,9;23,88
21,92;24,1
21,95;24,2
21,97;24,41
22;24,51
22,02;24,68
22,05;24,69
22,07;24,89
22,1;24,9
22,12;25,07
22,14;25,04
22,17;25,12
22,19;25,06
22,22;25,12
22,24;25,04
22,27;25,11
22,29;25
22,31;25,05
22,34;24,98
22,36;25,01
22,39;24,9
22,41;24,9
22,44;24,72
22,46;24,7
22,49;24,51
22,51;24,45
22,53;24,26
22,56;24,17
22,58;23,94
22,61;23,85
22,63;23,63
22,66;23,54
22,68;23,3
22,71;23,16
22,73;22,92
22,75;22,79
22,78;22,54
22,8;22,4
22,83;22,09
22,85;21,88
22,88;21,56
22,9;21,32
22,93;21,03
22,95;20,79
22,97;20,48
23;20,28
23,02;19,98
23,05;19,78
23,07;19,57
23,1;19,34
23,12;19,11
23,15;18,83
23,17;18,54
23,19;18,26
23,22;18,01
23,24;17,71
23,27;17,48
23,29;17,13
23,32;16,9
23,34;16,66
23,36;16,5
23,39;16,26
23,41;16,1
23,44;15,8
23,46;15,69
23,49;15,44
23,51;15,28
23,54;14,99
23,56;14,82
23,58;14,53
23,61;14,4
23,63;14,14
23,66;14,08
23,68;13,85
23,71;13,79
23,73;13,61
23,76;13,56
23,78;13,4
23,8;13,38
23,83;13,16
23,85;13,16
23,88;12,97
23,9;12,97
23,93;12,84
23,95;12,84
23,98;12,67
24;12,73
24,02;12,56
24,05;12,63
24,07;12,52
24,1;12,55
24,12;12,45
24,15;12,54
24,17;12,45
24,2;12,59
24,22;12,54
24,24;12,62
24,27;12,56
24,29;12,65
24,32;12,63
24,34;12,73
24,37;12,71
24,39;12,8
24,42;12,77
24,44;12,9
24,46;12,96
24,49;13,08
24,51;13,14
24,54;13,27
24,56;13,32
24,59;13,5
24,61;13,62
24,63;13,77
24,66;13,86
24,68;14,02
24,71;14,14
24,73;14,31
24,76;14,44
24,78;14,6
24,81;14,77
24,83;14,91
24,85;15,07
24,88;15,23
24,9;15,42
24,93;15,66
24,95;15,86
24,98;16,01
25;16,23
25,03;16,38
25,05;16,65
25,07;16,82
25,1;16,97
25,12;17,1
25,15;17,32
25,17;17,49
25,2;17,78
25,22;17,94
25,25;18,25
25,27;18,46
25,29;18,79
25,32;19,05
25,34;19,41
25,37;19,63
25,39;19,98
25,42;20,12
25,44;20,44
25,47;20,64
25,49;20,94
