Voltage U1;Corriente IA
U1/V;IA/nA
;
0,02;0,55
0,04;0,54
0,07;0,52
0,09;0,52
0,12;0,5
0,14;0,49
0,17;0,48
0,19;0,48
0,21;0,5
0,24;0,5
0,26;0,49
0,29;0,5
0,31;0,5
0,34;0,5
0,36;0,54
0,39;0,53
0,41;0,55
0,43;0,54
0,46;0,55
0,48;0,54
0,51;0,57
0,53;0,52
0,56;0,54
0,58;0,48
0,61;0,49
0,63;0,47
0,65;0,5
0,68;0,47
0,7;0,51
0,73;0,46
0,75;0,52
0,78;0,49
0,8;0,54
0,83;0,5
0,85;0,51
0,87;0,46
0,9;0,51
0,92;0,46
0,95;0,49
0,97;0,44
1;0,49
1,02;0,48
1,05;0,52
1,07;0,47
1,09;0,54
1,12;0,49
1,14;0,53
1,17;0,48
1,19;0,52
1,22;0,48
1,24;0,52
1,26;0,46
1,29;0,5
1,31;0,46
1,34;0,51
1,36;0,48
1,39;0,52
1,41;0,49
1,44;0,52
1,46;0,49
1,48;0,55
1,51;0,52
1,53;0,52
1,56;0,49
1,58;0,49
1,61;0,47
1,63;0,5
1,66;0,45
1,68;0,47
1,7;0,44
1,73;0,45
1,75;0,47
1,78;0,49
1,8;0,48
1,83;0,5
1,85;0,48
1,88;0,51
1,9;0,51
1,92;0,51
1,95;0,51
1,97;0,51
2;0,49
2,02;0,5
2,05;0,5
2,07;0,49
2,1;0,52
2,12;0,49
2,14;0,49
2,17;0,5
2,19;0,51
2,22;0,54
2,24;0,55
2,27;0,53
2,29;0,54
2,31;0,51
2,34;0,51
2,36;0,51
2,39;0,49
2,41;0,47
2,44;0,46
2,46;0,44
2,49;0,49
2,51;0,47
2,53;0,49
2,56;0,48
2,58;0,5
2,61;0,5
2,63;0,54
2,66;0,52
2,68;0,54
2,71;0,52
2,73;0,53
2,75;0,51
2,78;0,52
2,8;0,49
2,83;0,51
2,85;0,48
2,88;0,51
2,9;0,5
2,93;0,52
2,95;0,53
2,97;0,56
3;0,53
3,02;0,55
3,05;0,5
3,07;0,52
3,1;0,49
3,12;0,48
3,15;0,48
3,17;0,49
3,19;0,47
3,22;0,54
3,24;0,51
3,27;0,53
3,29;0,51
3,32;0,52
3,34;0,51
3,36;0,54
3,39;0,48
3,41;0,5
3,44;0,49
3,46;0,54
3,49;0,53
3,51;0,52
3,54;0,49
3,56;0,51
3,58;0,5
3,61;0,51
3,63;0,5
3,66;0,49
3,68;0,52
3,71;0,52
3,73;0,53
3,76;0,54
3,78;0,52
3,8;0,49
3,83;0,49
3,85;0,46
3,88;0,49
3,9;0,46
3,93;0,48
3,95;0,47
3,98;0,48
4;0,47
4,02;0,51
4,05;0,48
4,07;0,52
4,1;0,48
4,12;0,51
4,15;0,5
4,17;0,53
4,2;0,49
4,22;0,54
4,24;0,47
4,27;0,51
4,29;0,47
4,32;0,51
4,34;0,47
4,37;0,51
4,39;0,45
4,42;0,52
4,44;0,48
4,46;0,52
4,49;0,49
4,51;0,5
4,54;0,46
4,56;0,5
4,59;0,46
4,61;0,5
4,63;0,45
4,66;0,49
4,68;0,48
4,71;0,52
4,73;0,49
4,76;0,52
4,78;0,47
4,81;0,52
4,83;0,48
4,85;0,52
4,88;0,5
4,9;0,54
4,93;0,51
4,95;0,56
4,98;0,51
5;0,54
5,03;0,51
5,05;0,51
5,07;0,48
5,1;0,5
5,12;0,48
5,15;0,54
5,17;0,53
5,2;0,54
5,22;0,5
5,25;0,51
5,27;0,49
5,29;0,5
5,32;0,46
5,34;0,46
5,37;0,44
5,39;0,46
5,42;0,48
5,44;0,5
5,47;0,5
5,49;0,49
5,51;0,49
5,54;0,52
5,56;0,53
5,59;0,51
5,61;0,52
5,64;0,49
5,66;0,5
5,68;0,5
5,71;0,49
5,73;0,49
5,76;0,52
5,78;0,48
5,81;0,52
5,83;0,49
5,86;0,52
5,88;0,52
5,9;0,54
5,93;0,49
5,95;0,51
5,98;0,48
6;0,51
6,03;0,48
6,05;0,51
6,08;0,48
6,1;0,5
6,12;0,47
6,15;0,53
6,17;0,5
6,2;0,53
6,22;0,49
6,25;0,52
6,27;0,5
6,3;0,54
6,32;0,48
6,34;0,52
6,37;0,47
6,39;0,51
6,42;0,49
6,44;0,52
6,47;0,47
6,49;0,52
6,52;0,47
6,54;0,52
6,56;0,48
6,59;0,5
6,61;0,48
6,64;0,48
6,66;0,46
6,69;0,49
6,71;0,46
6,73;0,5
6,76;0,47
6,78;0,49
6,81;0,5
6,83;0,5
6,86;0,48
6,88;0,5
6,91;0,47
6,93;0,49
6,95;0,47
6,98;0,48
7;0,48
7,03;0,5
