Voltage U1;Corriente IA
0,02;0,63
0,04;0,64
0,07;0,56
0,09;0,54
0,12;0,47
0,14;0,53
0,17;0,46
0,19;0,52
0,21;0,43
0,24;0,48
0,26;0,39
0,29;0,45
0,31;0,35
0,34;0,43
0,36;0,37
0,39;0,42
0,41;0,37
0,43;0,44
0,46;0,34
0,48;0,42
0,51;0,34
0,53;0,43
0,56;0,37
0,58;0,46
0,61;0,38
0,63;0,47
0,65;0,42
0,68;0,5
0,7;0,43
0,73;0,48
0,75;0,39
0,78;0,47
0,8;0,42
0,83;0,47
0,85;0,41
0,87;0,44
0,9;0,4
0,92;0,44
0,95;0,42
0,97;0,46
1;0,42
1,02;0,46
1,05;0,41
1,07;0,42
1,09;0,42
1,12;0,45
1,14;0,42
1,17;0,43
1,19;0,41
1,22;0,39
1,24;0,42
1,26;0,42
1,29;0,41
1,31;0,41
1,34;0,39
1,36;0,36
1,39;0,45
1,41;0,42
1,44;0,44
1,46;0,41
1,48;0,43
1,51;0,44
1,53;0,52
1,56;0,48
1,58;0,5
1,61;0,47
1,63;0,53
1,66;0,5
1,68;0,56
1,7;0,52
1,73;0,57
1,75;0,52
1,78;0,55
1,8;0,47
1,83;0,52
1,85;0,45
1,88;0,47
1,9;0,39
1,92;0,47
1,95;0,39
1,97;0,46
2;0,41
2,02;0,47
2,05;0,42
2,07;0,5
2,1;0,43
2,12;0,49
2,14;0,42
2,17;0,44
2,19;0,37
2,22;0,41
2,24;0,33
2,27;0,39
2,29;0,34
2,31;0,41
2,34;0,35
2,36;0,45
2,39;0,39
2,41;0,43
2,44;0,37
2,46;0,41
2,49;0,37
2,51;0,46
2,53;0,38
2,56;0,44
2,58;0,39
2,61;0,43
2,63;0,42
2,66;0,48
2,68;0,43
2,71;0,48
2,73;0,46
2,75;0,5
2,78;0,47
2,8;0,49
2,83;0,46
2,85;0,45
2,88;0,39
2,9;0,4
2,93;0,38
2,95;0,41
2,97;0,43
3;0,39
3,02;0,42
3,05;0,41
3,07;0,44
3,1;0,46
3,12;0,47
3,15;0,43
3,17;0,46
3,19;0,44
3,22;0,51
3,24;0,48
3,27;0,5
3,29;0,44
3,32;0,46
3,34;0,42
3,36;0,48
3,39;0,43
3,41;0,47
3,44;0,43
3,46;0,5
3,49;0,45
3,51;0,51
3,54;0,43
3,56;0,48
3,58;0,39
3,61;0,43
3,63;0,34
3,66;0,43
3,68;0,35
3,71;0,47
3,73;0,4
3,76;0,48
3,78;0,44
3,8;0,5
3,83;0,43
3,85;0,51
3,88;0,39
3,9;0,47
3,93;0,38
3,95;0,45
3,98;0,42
4;0,48
4,02;0,42
4,05;0,5
4,07;0,44
4,1;0,51
4,12;0,43
4,15;0,48
4,17;0,46
4,2;0,51
4,22;0,47
4,24;0,51
4,27;0,43
4,29;0,48
4,32;0,47
4,34;0,48
4,37;0,47
4,39;0,46
4,42;0,41
4,44;0,48
4,46;0,47
4,49;0,49
4,51;0,49
4,54;0,47
4,56;0,48
4,59;0,53
4,61;0,49
4,63;0,52
4,66;0,53
4,68;0,48
4,71;0,49
4,73;0,5
4,76;0,5
4,78;0,53
4,81;0,53
4,83;0,49
4,85;0,52
4,88;0,48
4,9;0,53
4,93;0,51
4,95;0,52
4,98;0,46
5;0,49
5,03;0,45
5,05;0,55
5,07;0,49
5,1;0,54
5,12;0,46
5,15;0,52
5,17;0,48
5,2;0,57
5,22;0,49
5,25;0,54
5,27;0,46
5,29;0,59
5,32;0,55
5,34;0,62
5,37;0,54
5,39;0,6
5,42;0,54
5,44;0,63
5,47;0,51
5,49;0,58
5,51;0,51
5,54;0,58
5,56;0,51
5,59;0,57
5,61;0,46
5,64;0,58
5,66;0,49
5,68;0,59
5,71;0,54
5,73;0,62
5,76;0,56
5,78;0,67
5,81;0,59
5,83;0,67
5,86;0,6
5,88;0,65
5,9;0,59
5,93;0,66
5,95;0,58
5,98;0,61
6;0,57
6,03;0,67
6,05;0,64
6,08;0,68
6,1;0,63
6,12;0,69
6,15;0,68
6,17;0,74
6,2;0,69
6,22;0,7
6,25;0,68
6,27;0,71
6,3;0,71
6,32;0,71
6,34;0,78
6,37;0,78
6,39;0,78
6,42;0,77
6,44;0,8
6,47;0,79
6,49;0,8
6,52;0,7
6,54;0,7
6,56;0,69
6,59;0,74
6,61;0,71
6,64;0,77
6,66;0,74
6,69;0,78
6,71;0,76
6,73;0,84
6,76;0,85
6,78;0,89
6,81;0,83
6,83;0,91
6,86;0,85
6,88;0,93
6,91;0,86
6,93;0,89
6,95;0,84
6,98;0,94
7;0,86
7,03;0,96
7,05;0,91
7,08;0,98
7,1;0,92
7,13;1,02
7,15;0,94
7,17;1,05
7,2;0,99
7,22;1,07
7,25;1,03
7,27;1,11
7,3;1,02
7,32;1,1
7,35;1,02
7,37;1,12
7,39;1,03
7,42;1,13
7,44;1,05
7,47;1,14
7,49;1,09
7,52;1,15
7,54;1,09
7,57;1,19
7,59;1,09
7,61;1,16
7,64;1,13
7,66;1,18
7,69;1,15
7,71;1,22
7,74;1,18
7,76;1,26
7,78;1,21
7,81;1,21
7,83;1,22
7,86;1,25
7,88;1,23
7,91;1,24
7,93;1,2
7,96;1,22
7,98;1,25
8;1,24
8,03;1,24
8,05;1,23
8,08;1,22
8,1;1,25
8,13;1,31
8,15;1,31
8,18;1,34
8,2;1,29
8,22;1,34
8,25;1,32
8,27;1,37
8,3;1,34
8,32;1,38
8,35;1,29
8,37;1,37
8,4;1,31
8,42;1,4
8,44;1,32
8,47;1,38
8,49;1,31
8,52;1,37
8,54;1,29
8,57;1,38
8,59;1,29
8,62;1,36
8,64;1,28
8,66;1,36
8,69;1,32
8,71;1,42
8,74;1,31
8,76;1,41
8,79;1,31
8,81;1,4
8,84;1,32
8,86;1,41
8,88;1,31
8,91;1,42
8,93;1,33
8,96;1,47
8,98;1,4
9,01;1,47
9,03;1,38
9,05;1,46
9,08;1,36
9,1;1,45
9,13;1,36
9,15;1,42
9,18;1,32
9,2;1,42
9,23;1,38
9,25;1,46
9,27;1,39
9,3;1,44
9,32;1,35
9,35;1,41
9,37;1,36
9,4;1,42
9,42;1,38
9,45;1,42
9,47;1,36
9,49;1,41
9,52;1,36
9,54;1,38
9,57;1,33
9,59;1,33
9,62;1,29
9,64;1,34
9,67;1,34
9,69;1,4
9,71;1,42
9,74;1,42
9,76;1,43
9,79;1,44
9,81;1,45
9,84;1,46
9,86;1,47
9,89;1,43
9,91;1,43
9,93;1,4
9,96;1,45
9,98;1,44
10,01;1,46
10,03;1,39
10,06;1,44
10,08;1,41
10,1;1,52
10,13;1,45
10,15;1,51
10,18;1,45
10,2;1,54
10,23;1,5
10,25;1,56
10,28;1,47
10,3;1,58
10,32;1,5
10,35;1,6
10,37;1,56
10,4;1,65
10,42;1,63
10,45;1,74
10,47;1,68
10,5;1,79
10,52;1,71
10,54;1,79
10,57;1,7
10,59;1,76
10,62;1,67
10,64;1,73
10,67;1,65
10,69;1,76
10,72;1,67
10,74;1,77
10,76;1,71
10,79;1,79
10,81;1,73
10,84;1,82
10,86;1,72
10,89;1,82
10,91;1,77
10,94;1,87
10,96;1,85
10,98;1,92
11,01;1,86
11,03;1,97
11,06;1,97
11,08;2,07
11,11;2,04
11,13;2,06
11,15;2,08
11,18;2,16
11,2;2,15
11,23;2,22
11,25;2,19
11,28;2,23
11,3;2,27
11,33;2,3
11,35;2,32
11,37;2,34
11,4;2,35
11,42;2,39
11,45;2,41
11,47;2,4
11,5;2,42
11,52;2,46
11,55;2,51
11,57;2,52
11,59;2,55
11,62;2,55
11,64;2,65
11,67;2,67
11,69;2,75
11,72;2,74
11,74;2,78
11,77;2,76
11,79;2,87
11,81;2,88
11,84;2,99
11,86;2,93
11,89;3,02
11,91;3,02
11,94;3,15
11,96;3,11
11,99;3,19
12,01;3,14
12,03;3,25
12,06;3,22
12,08;3,34
12,11;3,27
12,13;3,37
12,16;3,3
12,18;3,39
12,21;3,31
12,23;3,4
12,25;3,32
12,28;3,43
12,3;3,38
12,33;3,49
12,35;3,45
12,38;3,56
12,4;3,51
12,42;3,59
12,45;3,51
12,47;3,6
12,5;3,56
12,52;3,64
12,55;3,55
12,57;3,62
12,6;3,57
12,62;3,69
12,64;3,62
12,67;3,65
12,69;3,56
12,72;3,63
12,74;3,6
12,77;3,67
12,79;3,6
12,82;3,66
12,84;3,59
12,86;3,63
12,89;3,62
12,91;3,66
12,94;3,61
12,96;3,62
12,99;3,57
13,01;3,59
13,04;3,61
13,06;3,61
13,08;3,6
13,11;3,59
13,13;3,57
13,16;3,56
13,18;3,58
13,21;3,55
13,23;3,56
13,26;3,49
13,28;3,52
13,3;3,44
13,33;3,49
13,35;3,45
13,38;3,47
13,4;3,4
13,43;3,42
13,45;3,33
13,47;3,42
13,5;3,34
13,52;3,38
13,55;3,28
13,57;3,31
13,6;3,22
13,62;3,31
13,65;3,22
13,67;3,28
13,69;3,16
13,72;3,23
13,74;3,14
13,77;3,21
13,79;3,12
13,82;3,18
13,84;3,05
13,87;3,13
13,89;3,04
13,91;3,1
13,94;3
13,96;3,05
13,99;2,95
14,01;3,05
14,04;2,95
14,06;3,02
14,09;2,95
14,11;3,02
14,13;2,95
14,16;3,03
14,18;2,92
14,21;2,98
14,23;2,9
14,26;2,95
14,28;2,88
14,31;2,92
14,33;2,84
14,35;2,92
14,38;2,85
14,4;2,88
14,43;2,84
14,45;2,91
14,48;2,88
14,5;2,92
14,52;2,86
14,55;2,95
14,57;2,95
14,6;3
14,62;2,99
14,65;3,01
14,67;2,99
14,7;3,02
14,72;3,02
14,74;3,05
14,77;3,1
14,79;3,07
14,82;3,09
14,84;3,1
14,87;3,17
14,89;3,17
14,92;3,2
14,94;3,15
14,96;3,17
14,99;3,18
15,01;3,23
15,04;3,23
15,06;3,3
15,09;3,28
15,11;3,36
15,14;3,38
15,16;3,5
15,18;3,48
15,21;3,55
15,23;3,51
15,26;3,55
15,28;3,51
15,31;3,59
15,33;3,51
15,36;3,64
15,38;3,6
15,4;3,73
15,43;3,72
15,45;3,84
15,48;3,85
15,5;3,99
15,53;3,93
15,55;4,04
15,57;4
15,6;4,12
15,62;4,11
15,65;4,23
15,67;4,21
15,7;4,35
15,72;4,35
15,75;4,49
15,77;4,47
15,79;4,58
15,82;4,58
15,84;4,72
15,87;4,73
15,89;4,85
15,92;4,83
15,94;4,98
15,97;5,01
15,99;5,13
16,01;5,16
16,04;5,24
16,06;5,25
16,09;5,39
16,11;5,43
16,14;5,55
16,16;5,58
16,19;5,66
16,21;5,72
16,23;5,83
16,26;5,87
16,28;5,96
16,31;6
16,33;6,11
16,36;6,17
16,38;6,27
16,41;6,37
16,43;6,47
16,45;6,59
16,48;6,65
16,5;6,73
16,53;6,84
16,55;6,99
16,58;7,09
16,6;7,22
16,63;7,25
16,65;7,39
16,67;7,45
16,7;7,56
16,72;7,55
16,75;7,66
16,77;7,66
16,8;7,77
16,82;7,83
16,84;7,98
16,87;8,04
16,89;8,21
16,92;8,19
16,94;8,36
16,97;8,4
16,99;8,51
17,02;8,5
17,04;8,63
17,06;8,59
17,09;8,73
17,11;8,69
17,14;8,83
17,16;8,77
17,19;8,89
17,21;8,81
17,24;8,92
17,26;8,89
17,28;9,01
17,31;8,93
17,33;9,04
17,36;8,94
17,38;9,03
17,41;8,97
17,43;9,02
17,46;8,89
17,48;8,95
17,5;8,85
17,53;8,93
17,55;8,86
17,58;8,86
17,6;8,73
17,63;8,77
17,65;8,66
17,68;8,73
17,7;8,61
17,72;8,57
17,75;8,46
17,77;8,44
17,8;8,37
17,82;8,37
17,85;8,23
17,87;8,18
17,89;8,06
17,92;8,03
17,94;7,99
17,97;7,94
17,99;7,82
18,02;7,74
18,04;7,65
18,07;7,59
18,09;7,52
18,11;7,46
18,14;7,37
18,16;7,28
18,19;7,2
18,21;7,1
18,24;7,09
18,26;6,99
18,29;6,93
18,31;6,82
18,33;6,78
18,36;6,66
18,38;6,65
18,41;6,54
18,43;6,5
18,46;6,35
18,48;6,32
18,51;6,19
18,53;6,23
18,55;6,1
18,58;6,08
18,6;5,95
18,63;5,97
18,65;5,83
18,68;5,86
18,7;5,7
18,73;5,7
18,75;5,57
18,77;5,6
18,8;5,45
18,82;5,5
18,85;5,36
18,87;5,4
18,9;5,29
18,92;5,32
18,94;5,21
18,97;5,27
18,99;5,16
19,02;5,25
19,04;5,16
19,07;5,22
19,09;5,11
19,12;5,18
19,14;5,11
19,16;5,16
19,19;5,05
19,21;5,12
19,24;5,05
19,26;5,11
19,29;5,03
19,31;5,07
19,34;5,05
19,36;5,14
19,38;5,08
19,41;5,14
19,43;5,1
19,46;5,16
19,48;5,16
19,51;5,21
19,53;5,19
19,56;5,23
19,58;5,21
19,6;5,28
19,63;5,31
19,65;5,34
19,68;5,37
19,7;5,41
19,73;5,45
19,75;5,52
19,78;5,61
19,8;5,67
19,82;5,77
19,85;5,76
19,87;5,82
19,9;5,88
19,92;5,95
19,95;5,99
19,97;6,09
19,99;6,04
20,02;6,16
20,04;6,19
20,07;6,3
20,09;6,34
20,12;6,44
20,14;6,42
20,17;6,6
20,19;6,63
20,21;6,82
20,24;6,82
20,26;6,97
20,29;7
20,31;7,16
20,34;7,17
20,36;7,38
20,39;7,36
20,41;7,57
20,43;7,6
20,46;7,77
20,48;7,85
20,51;8,04
20,53;8,07
20,56;8,26
20,58;8,28
20,61;8,49
20,63;8,56
20,65;8,73
20,68;8,76
20,7;8,93
20,73;9
20,75;9,21
20,78;9,27
20,8;9,45
20,83;9,52
20,85;9,73
20,87;9,85
20,9;10,03
20,92;10,1
20,95;10,29
20,97;10,33
21;10,51
21,02;10,63
21,05;10,8
21,07;10,92
21,09;11,11
21,12;11,21
21,14;11,46
21,17;11,61
21,19;11,8
21,22;11,97
21,24;12,15
21,26;12,26
21,29;12,51
21,31;12,66
21,34;12,88
21,36;13,05
21,39;13,19
21,41;13,37
21,44;13,57
21,46;13,68
21,48;13,88
